floor,description,amenities,is_accessible,x_coor,y_coor
H-4,,,True,15.83,27.26
H-4,,,True,16.45,33.42
H-4,,,True,16.92,50.55
H-4,,,True,16.14,74.18
H-4,,,True,16.45,82.74
H-4,,WATER_FOUNTAIN|STAIRS,True,28.48,82.40
H-4,,,True,44.89,82.40
H-4,,,True,52.62,81.54
H-4,,,True,67.93,81.88
H-4,,,True,75.90,82.57
H-4,,,True,82.47,82.05
H-4,,,True,82.78,71.95
H-4,,,True,82.00,62.19
H-4,,,True,82.78,44.90
H-4,,STAIRS,True,82.47,33.42
H-4,,,True,73.72,33.59
H-4,,,True,67.47,33.42
H-4,,,True,57.15,33.25
H-4,,,True,56.84,27.94
H-4,,,True,51.22,28.29
H-4,,,True,45.75,27.60
H-4,,COFFEE_MACHINE,False,44.97,32.91
H-4,,STAIRS,True,39.18,32.57
H-4,,,True,23.72,33.25
H-4,,,True,44.18,72.29
H-4,,COFFEE_MACHINE|CHARGING_STATION,True,44.34,67.67
H-5,,,,16.45,23.25
H-5,,,,16.68,36.83
H-5,,,,17.13,49.42
H-5,,,,16.90,60.53
H-5,,,,16.90,80.78
H-5,,,,29.35,81.03
H-5,,,,39.98,80.53
H-5,,,,47.45,80.29
H-5,,,,69.84,80.29
H-5,,,,82.51,80.53
H-5,,,,82.97,61.77
H-5,,,,83.19,41.77
H-5,,,,82.74,33.13
H-5,,,,82.74,25.22
H-5,,,,71.20,32.39
H-5,,,,56.72,32.39
H-5,,,,51.97,32.39
H-5,,,,52.20,18.56
H-5,,,,35.68,32.63
H-5,,,,21.20,32.39
H-5,,,,73.46,62.51
H-5,,,,67.58,62.01
H-5,,,,57.18,61.77
H-5,,,,47.67,61.77
H-5,,,,46.32,33.37
H-5,,,,25.05,36.83
H-5,,,,25.05,32.63
H-6,,,,16.73,36.33
H-6,,,,16.63,49.01
H-6,,,,16.63,74.94
H-6,,,,16.63,82.34
H-6,,,,22.22,82.34
H-6,,,,29.34,82.34
H-6,,,,39.30,81.87
H-6,,,,49.86,81.75
H-6,,,,62.06,81.75
H-6,,,,69.68,81.99
H-6,,,,77.00,81.99
H-6,,,,83.10,81.99
H-6,,,,83.40,62.39
H-6,,,,82.99,42.43
H-6,,,,83.20,33.40
H-6,,,,71.31,33.16
H-6,,,,56.57,33.04
H-6,,,,56.47,28.23
H-6,,,,45.70,33.75
H-6,,,,40.01,33.63
H-6,,,,39.80,28.11
H-6,,,,40.01,37.62
H-6,,,,30.86,37.50
H-6,,,,45.80,37.86
H-6,,,,52.81,37.39
H-6,,,,45.90,58.28
H-6,,,,46.10,63.09
H-6,,,,46.31,77.53
H-6,,,,83.47,17.41
H-6,,,,68.23,16.94
H-6,,,,56.64,17.29
H-6,,,,48.41,17.29
H-8,,,,16.70,19.37
H-8,,,,16.36,32.92
H-8,,,,16.70,39.20
H-8,,,,16.93,44.87
H-8,,,,16.93,48.31
H-8,,,,16.93,64.32
H-8,,,,16.25,80.95
H-8,,,,28.17,81.57
H-8,,,,45.42,81.81
H-8,,,,52.23,81.81
H-8,,,,62.22,81.81
H-8,,,,66.99,81.81
H-8,,,,77.88,81.93
H-8,,,,83.22,81.93
H-8,,,,82.31,61.86
H-8,,,,82.77,53.12
H-8,,,,83.11,43.14
H-8,,,,83.33,35.51
H-8,,,,83.22,27.01
H-8,,,,83.22,19.00
H-8,,,,71.07,19.13
H-8,,,,51.89,18.63
H-8,,,,45.76,18.63
H-8,,,,32.14,18.76
H-8,,,,21.47,18.63
H-8,,,,45.65,26.52
H-8,,,,45.31,36.74
H-8,,,,45.19,61.24
H-8,,,,45.42,71.34
H-8,,,,67.86,61.74

H-4,,ELEVATOR,True,67.93,62.19

